"Bed Length","Activity","Bed Temp","Bed Temp 1stD"," Bed Temp 2ndD","Conc A","Conc B","Conc C"
0.5417,1.0000,1.2383,0.1500,-2.4222,0.1363,0.4319,0.4319
0.5500,1.0000,1.2395,0.1304,-2.2795,0.1287,0.4357,0.4357
0.5542,1.0000,1.2400,0.1211,-2.2112,0.1250,0.4375,0.4375
0.5625,1.0000,1.2410,0.1032,-2.0801,0.1181,0.4410,0.4410
0.5667,1.0000,1.2414,0.0947,-2.0173,0.1147,0.4426,0.4426
0.5750,1.0000,1.2421,0.0784,-1.8969,0.1083,0.4458,0.4458
0.5792,1.0000,1.2424,0.0706,-1.8392,0.1052,0.4474,0.4474
0.5875,1.0000,1.2429,0.0557,-1.7286,0.0994,0.4503,0.4503
0.5917,1.0000,1.2432,0.0486,-1.6757,0.0966,0.4517,0.4517
0.6000,1.0000,1.2435,0.0351,-1.5741,0.0912,0.4544,0.4544
0.6042,1.0000,1.2436,0.0286,-1.5255,0.0886,0.4557,0.4557
0.6125,1.0000,1.2438,0.0163,-1.4323,0.0836,0.4582,0.4582
0.6167,1.0000,1.2439,0.0104,-1.3877,0.0813,0.4594,0.4594
0.6250,1.0000,1.2439,-0.0008,-1.3022,0.0767,0.4616,0.4616
0.6292,1.0000,1.2439,-0.0061,-1.2613,0.0746,0.4627,0.4627
0.6375,1.0000,1.2438,-0.0163,-1.1828,0.0704,0.4648,0.4648
0.6417,1.0000,1.2437,-0.0211,-1.1453,0.0684,0.4658,0.4658
0.6500,1.0000,1.2435,-0.0304,-1.0733,0.0646,0.4677,0.4677
0.6542,1.0000,1.2434,-0.0348,-1.0389,0.0627,0.4686,0.4686
0.6625,1.0000,1.2431,-0.0432,-0.9729,0.0592,0.4704,0.4704
0.6667,1.0000,1.2429,-0.0472,-0.9413,0.0576,0.4712,0.4712
0.6750,1.0000,1.2424,-0.0547,-0.8808,0.0544,0.4728,0.4728
0.6792,1.0000,1.2422,-0.0584,-0.8519,0.0528,0.4736,0.4736
0.6875,1.0000,1.2417,-0.0652,-0.7964,0.0499,0.4751,0.4751
0.6917,1.0000,1.2414,-0.0685,-0.7699,0.0485,0.4758,0.4758
0.7000,1.0000,1.2408,-0.0747,-0.7191,0.0457,0.4771,0.4771
0.7042,1.0000,1.2405,-0.0776,-0.6948,0.0445,0.4778,0.4778
0.7125,1.0000,1.2398,-0.0832,-0.6482,0.0420,0.4790,0.4790
0.7167,1.0000,1.2395,-0.0859,-0.6260,0.0408,0.4796,0.4796
0.7250,1.0000,1.2387,-0.0909,-0.5833,0.0385,0.4807,0.4807
0.7292,1.0000,1.2384,-0.0933,-0.5630,0.0374,0.4813,0.4813
0.7375,1.0000,1.2376,-0.0978,-0.5239,0.0353,0.4823,0.4823
0.7417,1.0000,1.2371,-0.1000,-0.5052,0.0343,0.4828,0.4828
0.7500,1.0000,1.2363,-0.1040,-0.4695,0.0324,0.4838,0.4838
0.7542,1.0000,1.2359,-0.1060,-0.4524,0.0315,0.4843,0.4843
0.7625,1.0000,1.2350,-0.1096,-0.4196,0.0297,0.4851,0.4851
0.7667,1.0000,1.2345,-0.1113,-0.4040,0.0289,0.4856,0.4856
0.7750,1.0000,1.2336,-0.1145,-0.3740,0.0273,0.4864,0.4864
0.7792,1.0000,1.2331,-0.1161,-0.3597,0.0265,0.4867,0.4867
0.7875,1.0000,1.2321,-0.1190,-0.3323,0.0250,0.4875,0.4875
0.7917,1.0000,1.2316,-0.1203,-0.3192,0.0243,0.4878,0.4878
0.8000,1.0000,1.2306,-0.1229,-0.2941,0.0230,0.4885,0.4885
0.8042,1.0000,1.2301,-0.1241,-0.2821,0.0223,0.4888,0.4888
0.8125,1.0000,1.2290,-0.1263,-0.2592,0.0211,0.4895,0.4895
0.8167,1.0000,1.2285,-0.1274,-0.2482,0.0205,0.4898,0.4898
0.8250,1.0000,1.2274,-0.1294,-0.2273,0.0193,0.4903,0.4903
0.8292,1.0000,1.2269,-0.1303,-0.2172,0.0188,0.4906,0.4906
0.8375,1.0000,1.2258,-0.1320,-0.1981,0.0177,0.4911,0.4911
0.8417,1.0000,1.2252,-0.1328,-0.1889,0.0172,0.4914,0.4914
0.8500,1.0000,1.2241,-0.1343,-0.1714,0.0163,0.4919,0.4919
0.8542,1.0000,1.2236,-0.1350,-0.1630,0.0158,0.4921,0.4921
0.8625,1.0000,1.2224,-0.1363,-0.1470,0.0149,0.4925,0.4925
0.8667,1.0000,1.2219,-0.1369,-0.1394,0.0145,0.4927,0.4927
0.8750,1.0000,1.2207,-0.1380,-0.1248,0.0137,0.4931,0.4931
0.8792,1.0000,1.2202,-0.1385,-0.1178,0.0133,0.4933,0.4933
0.8875,1.0000,1.2190,-0.1394,-0.1045,0.0126,0.4937,0.4937
0.8917,1.0000,1.2184,-0.1399,-0.0981,0.0122,0.4939,0.4939
0.9000,1.0000,1.2172,-0.1406,-0.0859,0.0115,0.4942,0.4942
0.9042,1.0000,1.2167,-0.1410,-0.0801,0.0112,0.4944,0.4944
0.9125,1.0000,1.2155,-0.1416,-0.0690,0.0106,0.4947,0.4947
0.9167,1.0000,1.2149,-0.1419,-0.0637,0.0103,0.4949,0.4949
0.9250,1.0000,1.2137,-0.1424,-0.0536,0.0097,0.4951,0.4951
0.9292,1.0000,1.2131,-0.1426,-0.0488,0.0094,0.4953,0.4953
0.9375,1.0000,1.2119,-0.1429,-0.0396,0.0089,0.4955,0.4955
0.9417,1.0000,1.2113,-0.1431,-0.0352,0.0087,0.4957,0.4957
0.9500,1.0000,1.2101,-0.1434,-0.0268,0.0082,0.4959,0.4959
0.9542,1.0000,1.2095,-0.1435,-0.0228,0.0080,0.4960,0.4960
0.9625,1.0000,1.2083,-0.1436,-0.0152,0.0075,0.4962,0.4962
0.9667,1.0000,1.2077,-0.1437,-0.0115,0.0073,0.4963,0.4963
0.9750,1.0000,1.2065,-0.1437,-0.0046,0.0069,0.4966,0.4966
0.9792,1.0000,1.2059,-0.1437,-0.0013,0.0067,0.4966,0.4966
0.9875,1.0000,1.2047,-0.1437,0.0050,0.0063,0.4968,0.4968
0.9917,1.0000,1.2041,-0.1437,0.0080,0.0062,0.4969,0.4969
1.0000,1.0000,1.2030,-0.1436,0.0137,0.0058,0.4971,0.4971
